score,ranking,movie_name,score_num
9.6,1,肖申克的救赎,1030645
9.5,2,霸王别姬,750015
9.4,3,这个杀手不太冷,965073
9.4,4,阿甘正传,820988
9.5,5,美丽人生,479513
9.3,6,千与千寻,768851
9.3,7,泰坦尼克号,760707
9.4,8,辛德勒的名单,436443
9.3,9,盗梦空间,859197
9.3,10,机器人总动员,563419
9.2,11,三傻大闹宝莱坞,772816
9.2,12,海上钢琴师,661373
9.2,13,忠犬八公的故事,534071
9.2,14,放牛班的春天,516846
9.2,15,大话西游之大圣娶亲,565415
9.1,16,楚门的世界,537861
9.1,17,龙猫,477169
9.2,18,教父,387771
9.2,19,熔炉,312152
9.2,20,星际穿越,565727
9.2,21,乱世佳人,301202
9.2,22,触不可及,419508
9.0,23,无间道,461648
8.9,24,当幸福来敲门,611212
9.1,25,天堂电影院,339690
score,movie_name,ranking,score_num
9.6,肖申克的救赎,1,1030645
9.5,霸王别姬,2,750015
9.4,这个杀手不太冷,3,965073
9.4,阿甘正传,4,820988
9.5,美丽人生,5,479513
9.3,千与千寻,6,768851
9.3,泰坦尼克号,7,760707
9.4,辛德勒的名单,8,436443
9.3,盗梦空间,9,859197
9.3,机器人总动员,10,563419
9.2,三傻大闹宝莱坞,11,772816
9.2,海上钢琴师,12,661373
9.2,忠犬八公的故事,13,534071
9.2,放牛班的春天,14,516846
9.2,大话西游之大圣娶亲,15,565607
9.1,楚门的世界,16,537861
9.1,龙猫,17,477169
9.2,教父,18,387771
9.2,熔炉,19,312152
9.2,星际穿越,20,565727
9.2,乱世佳人,21,301202
9.2,触不可及,22,419508
9.0,无间道,23,461648
8.9,当幸福来敲门,24,611212
9.1,天堂电影院,25,339690
